1,71-004,Szczecin,Zachodnio-Pomorskie,Lipowa,5,7
2,01-464,Warszawa,Mazowieckie,Szkolna,25,30
3,85-461,Bydgoszcz,Kujawsko-Pomorskie,Parkowa,60,8
4,71-004,Szczecin,Zachodnio-Pomorskie,Lesna,44,11
5,01-464,Warszawa,Mazowieckie,Kolejowa,73,2
6,45-309,Opole,Opolskie,Ogrodowa,84,12
7,20-218,Lublin,Lubelskie,Brzozowa,50,28
8,15-102,Bialystok,Podlaskie,Akacjowa,21,4
9,51-416,Wroclaw,Dolnoslaskie,Polna,21,4
10,40-203,Katowice,Slaskie,Lakowa,45,27
11,71-004,Szczecin,Zachodnio-Pomorskie,Akacjowa,93,2
12,90-001,Lodz,Lodzkie,Kolejowa,1,31
13,45-309,Opole,Opolskie,Krotka,31,35
14,60-967,Poznan,Wielkopolskie,Lipowa,61,34
15,40-203,Katowice,Slaskie,Lesna,6,11
16,35-085,Rzeszow,Podkarpackie,Koscielna,71,31
17,01-464,Warszawa,Mazowieckie,Kolejowa,4,30
18,71-004,Szczecin,Zachodnio-Pomorskie,Zielona,36,12
19,40-203,Katowice,Slaskie,Sosnowa,74,33
20,15-102,Bialystok,Podlaskie,Brzozowa,37,15
21,65-751,Zielona Gora,Lubuskie,Lakowa,71,36
22,51-416,Wroclaw,Dolnoslaskie,Kolejowa,16,11
23,60-967,Poznan,Wielkopolskie,Krotka,5,22
24,35-085,Rzeszow,Podkarpackie,Brzozowa,95,10
25,71-004,Szczecin,Zachodnio-Pomorskie,Lakowa,1,28
26,31-403,Krakow,Malopolskie,Zielona,35,3
27,01-464,Warszawa,Mazowieckie,Zielona,59,22
28,40-203,Katowice,Slaskie,Parkowa,94,25
29,25-900,Kielce,Swietokrzyskie,Parkowa,91,11
30,45-309,Opole,Opolskie,Polna,3,2
31,51-416,Wroclaw,Dolnoslaskie,Kolejowa,61,15
32,20-218,Lublin,Lubelskie,Akacjowa,38,4
33,15-102,Bialystok,Podlaskie,Sosnowa,65,43
34,10-900,Olsztyn,Warminsko-Mazurskie,Ogrodowa,9,1
35,90-001,Lodz,Lodzkie,Ogrodowa,75,4
36,35-085,Rzeszow,Podkarpackie,Zielona,43,34
37,45-309,Opole,Opolskie,Krotka,84,42
38,10-900,Olsztyn,Warminsko-Mazurskie,Polna,56,39
39,71-004,Szczecin,Zachodnio-Pomorskie,Szkolna,31,24
40,85-461,Bydgoszcz,Kujawsko-Pomorskie,Kolejowa,87,35
41,35-085,Rzeszow,Podkarpackie,Zielona,0,33
42,40-203,Katowice,Slaskie,Kwiatowa,98,5
43,65-751,Zielona Gora,Lubuskie,Brzozowa,0,42
44,40-203,Katowice,Slaskie,Polna,45,3
45,35-085,Rzeszow,Podkarpackie,Lipowa,78,7
46,31-403,Krakow,Malopolskie,Sloneczna,78,21
47,25-900,Kielce,Swietokrzyskie,Zielona,2,33
48,15-102,Bialystok,Podlaskie,Brzozowa,30,40
49,71-004,Szczecin,Zachodnio-Pomorskie,Lakowa,82,10
50,40-203,Katowice,Slaskie,Sosnowa,6,13
51,10-900,Olsztyn,Warminsko-Mazurskie,Lakowa,36,46
52,31-403,Krakow,Malopolskie,Sosnowa,3,22
53,51-416,Wroclaw,Dolnoslaskie,Zielona,5,20
54,25-900,Kielce,Swietokrzyskie,Polna,18,3
55,85-461,Bydgoszcz,Kujawsko-Pomorskie,Lakowa,60,33
56,71-004,Szczecin,Zachodnio-Pomorskie,Lakowa,16,30
57,51-416,Wroclaw,Dolnoslaskie,Ogrodowa,10,46
58,40-203,Katowice,Slaskie,Polna,46,22
59,71-004,Szczecin,Zachodnio-Pomorskie,Brzozowa,4,44
60,10-900,Olsztyn,Warminsko-Mazurskie,Szkolna,49,26
61,51-416,Wroclaw,Dolnoslaskie,Zielona,84,37
62,25-900,Kielce,Swietokrzyskie,Brzozowa,75,48
63,10-900,Olsztyn,Warminsko-Mazurskie,Zielona,75,27
64,10-900,Olsztyn,Warminsko-Mazurskie,Krotka,59,12
65,31-403,Krakow,Malopolskie,Parkowa,46,19
66,60-967,Poznan,Wielkopolskie,Kwiatowa,5,21
67,31-403,Krakow,Malopolskie,Kolejowa,99,8
68,80-761,Gdansk,Pomorskie,Kolejowa,39,50
69,01-464,Warszawa,Mazowieckie,Brzozowa,36,25
70,60-967,Poznan,Wielkopolskie,Sloneczna,5,28
71,60-967,Poznan,Wielkopolskie,Sosnowa,20,34
72,80-761,Gdansk,Pomorskie,Polna,29,26
73,10-900,Olsztyn,Warminsko-Mazurskie,Akacjowa,28,28
74,15-102,Bialystok,Podlaskie,Kolejowa,11,25
75,65-751,Zielona Gora,Lubuskie,Lesna,19,12
76,20-218,Lublin,Lubelskie,Brzozowa,6,33
77,90-001,Lodz,Lodzkie,Sloneczna,41,7
78,31-403,Krakow,Malopolskie,Polna,20,34
79,31-403,Krakow,Malopolskie,Lakowa,19,48
80,01-464,Warszawa,Mazowieckie,Zielona,54,36
81,90-001,Lodz,Lodzkie,Lipowa,25,39
82,35-085,Rzeszow,Podkarpackie,Sloneczna,12,7
83,10-900,Olsztyn,Warminsko-Mazurskie,Szkolna,38,15
84,40-203,Katowice,Slaskie,Lipowa,41,31
85,85-461,Bydgoszcz,Kujawsko-Pomorskie,Ogrodowa,47,45
86,25-900,Kielce,Swietokrzyskie,Kwiatowa,93,43
87,35-085,Rzeszow,Podkarpackie,Koscielna,51,17
88,65-751,Zielona Gora,Lubuskie,Lipowa,0,44
89,85-461,Bydgoszcz,Kujawsko-Pomorskie,Lakowa,60,14
90,80-761,Gdansk,Pomorskie,Krotka,73,15
91,15-102,Bialystok,Podlaskie,Lakowa,1,34
92,90-001,Lodz,Lodzkie,Koscielna,88,9
93,51-416,Wroclaw,Dolnoslaskie,Krotka,61,21
94,90-001,Lodz,Lodzkie,Kwiatowa,99,43
95,15-102,Bialystok,Podlaskie,Szkolna,58,41
96,65-751,Zielona Gora,Lubuskie,Szkolna,53,9
97,51-416,Wroclaw,Dolnoslaskie,Kolejowa,79,50
98,15-102,Bialystok,Podlaskie,Parkowa,57,39
99,65-751,Zielona Gora,Lubuskie,Sloneczna,87,49
100,10-900,Olsztyn,Warminsko-Mazurskie,Parkowa,47,12
101,31-403,Krakow,Malopolskie,Akacjowa,61,6
102,71-004,Szczecin,Zachodnio-Pomorskie,Brzozowa,66,1
103,51-416,Wroclaw,Dolnoslaskie,Akacjowa,42,19
104,71-004,Szczecin,Zachodnio-Pomorskie,Zielona,96,31
105,10-900,Olsztyn,Warminsko-Mazurskie,Lesna,84,21
106,35-085,Rzeszow,Podkarpackie,Szkolna,1,20
107,65-751,Zielona Gora,Lubuskie,Lipowa,30,46
108,71-004,Szczecin,Zachodnio-Pomorskie,Lipowa,47,2
109,80-761,Gdansk,Pomorskie,Szkolna,57,17
110,31-403,Krakow,Malopolskie,Lipowa,58,6
111,65-751,Zielona Gora,Lubuskie,Kwiatowa,80,24
112,31-403,Krakow,Malopolskie,Szkolna,45,40
113,60-967,Poznan,Wielkopolskie,Szkolna,68,27
114,71-004,Szczecin,Zachodnio-Pomorskie,Koscielna,23,1
115,01-464,Warszawa,Mazowieckie,Koscielna,40,29
116,40-203,Katowice,Slaskie,Polna,91,25
117,15-102,Bialystok,Podlaskie,Akacjowa,42,14
118,10-900,Olsztyn,Warminsko-Mazurskie,Parkowa,68,46
119,10-900,Olsztyn,Warminsko-Mazurskie,Sloneczna,72,29
120,31-403,Krakow,Malopolskie,Zielona,93,3
121,15-102,Bialystok,Podlaskie,Sloneczna,63,29
122,20-218,Lublin,Lubelskie,Sosnowa,57,15
123,20-218,Lublin,Lubelskie,Lipowa,18,48
124,35-085,Rzeszow,Podkarpackie,Kwiatowa,8,4
125,65-751,Zielona Gora,Lubuskie,Sloneczna,7,34
126,45-309,Opole,Opolskie,Zielona,3,12
127,31-403,Krakow,Malopolskie,Szkolna,45,48
128,20-218,Lublin,Lubelskie,Ogrodowa,87,1
129,60-967,Poznan,Wielkopolskie,Brzozowa,80,7
130,60-967,Poznan,Wielkopolskie,Lakowa,30,31
131,25-900,Kielce,Swietokrzyskie,Sloneczna,96,14
132,60-967,Poznan,Wielkopolskie,Krotka,20,1
133,51-416,Wroclaw,Dolnoslaskie,Zielona,14,34
134,01-464,Warszawa,Mazowieckie,Szkolna,67,45
135,01-464,Warszawa,Mazowieckie,Sosnowa,68,49
136,25-900,Kielce,Swietokrzyskie,Szkolna,39,47
137,01-464,Warszawa,Mazowieckie,Parkowa,33,7
138,35-085,Rzeszow,Podkarpackie,Brzozowa,63,35
139,20-218,Lublin,Lubelskie,Kolejowa,70,45
140,31-403,Krakow,Malopolskie,Lipowa,37,6
141,80-761,Gdansk,Pomorskie,Ogrodowa,53,39
142,01-464,Warszawa,Mazowieckie,Zielona,81,37
143,40-203,Katowice,Slaskie,Lakowa,45,26
144,10-900,Olsztyn,Warminsko-Mazurskie,Sosnowa,62,34
145,85-461,Bydgoszcz,Kujawsko-Pomorskie,Brzozowa,76,46
146,45-309,Opole,Opolskie,Kwiatowa,82,45
147,80-761,Gdansk,Pomorskie,Kolejowa,27,13
148,35-085,Rzeszow,Podkarpackie,Brzozowa,6,49
149,80-761,Gdansk,Pomorskie,Lipowa,57,17
150,45-309,Opole,Opolskie,Sloneczna,24,47
151,51-416,Wroclaw,Dolnoslaskie,Krotka,32,15
152,85-461,Bydgoszcz,Kujawsko-Pomorskie,Polna,27,42
153,80-761,Gdansk,Pomorskie,Lakowa,50,14
154,90-001,Lodz,Lodzkie,Sloneczna,25,32
155,20-218,Lublin,Lubelskie,Krotka,0,33
156,35-085,Rzeszow,Podkarpackie,Krotka,80,46
157,31-403,Krakow,Malopolskie,Lakowa,42,12
158,71-004,Szczecin,Zachodnio-Pomorskie,Szkolna,96,14
159,31-403,Krakow,Malopolskie,Sloneczna,81,7
160,51-416,Wroclaw,Dolnoslaskie,Sloneczna,66,43
161,25-900,Kielce,Swietokrzyskie,Sloneczna,34,47
162,85-461,Bydgoszcz,Kujawsko-Pomorskie,Sosnowa,72,35
163,45-309,Opole,Opolskie,Sloneczna,65,3
164,60-967,Poznan,Wielkopolskie,Brzozowa,50,48
165,71-004,Szczecin,Zachodnio-Pomorskie,Lipowa,63,48
166,45-309,Opole,Opolskie,Akacjowa,89,33
167,71-004,Szczecin,Zachodnio-Pomorskie,Kolejowa,59,5
168,20-218,Lublin,Lubelskie,Polna,35,40
169,01-464,Warszawa,Mazowieckie,Kolejowa,98,12
170,60-967,Poznan,Wielkopolskie,Sloneczna,29,7
171,35-085,Rzeszow,Podkarpackie,Zielona,26,1
172,15-102,Bialystok,Podlaskie,Krotka,48,41
173,65-751,Zielona Gora,Lubuskie,Lesna,42,48
174,40-203,Katowice,Slaskie,Ogrodowa,64,32
175,85-461,Bydgoszcz,Kujawsko-Pomorskie,Kwiatowa,95,28
176,15-102,Bialystok,Podlaskie,Lipowa,15,48
177,25-900,Kielce,Swietokrzyskie,Sosnowa,24,1
178,80-761,Gdansk,Pomorskie,Sloneczna,70,17
179,25-900,Kielce,Swietokrzyskie,Szkolna,87,30
180,01-464,Warszawa,Mazowieckie,Sosnowa,10,49
181,65-751,Zielona Gora,Lubuskie,Ogrodowa,57,46
182,71-004,Szczecin,Zachodnio-Pomorskie,Zielona,0,48
183,31-403,Krakow,Malopolskie,Koscielna,97,14
184,31-403,Krakow,Malopolskie,Kwiatowa,33,6
185,60-967,Poznan,Wielkopolskie,Koscielna,13,26
186,85-461,Bydgoszcz,Kujawsko-Pomorskie,Koscielna,94,37
187,40-203,Katowice,Slaskie,Sosnowa,11,3
188,80-761,Gdansk,Pomorskie,Sloneczna,20,17
189,25-900,Kielce,Swietokrzyskie,Zielona,65,16
190,65-751,Zielona Gora,Lubuskie,Sosnowa,17,31
191,71-004,Szczecin,Zachodnio-Pomorskie,Lakowa,41,17
192,90-001,Lodz,Lodzkie,Brzozowa,33,25
193,35-085,Rzeszow,Podkarpackie,Parkowa,29,50
194,10-900,Olsztyn,Warminsko-Mazurskie,Akacjowa,34,22
195,20-218,Lublin,Lubelskie,Koscielna,19,41
196,71-004,Szczecin,Zachodnio-Pomorskie,Lipowa,35,30
197,65-751,Zielona Gora,Lubuskie,Lakowa,25,45
198,31-403,Krakow,Malopolskie,Lakowa,88,24
199,51-416,Wroclaw,Dolnoslaskie,Kwiatowa,46,47
200,40-203,Katowice,Slaskie,Krotka,44,29
201,31-403,Krakow,Malopolskie,Koscielna,63,45
202,80-761,Gdansk,Pomorskie,Akacjowa,84,43
203,85-461,Bydgoszcz,Kujawsko-Pomorskie,Kolejowa,75,34
204,10-900,Olsztyn,Warminsko-Mazurskie,Parkowa,22,48
205,35-085,Rzeszow,Podkarpackie,Krotka,7,41
206,90-001,Lodz,Lodzkie,Parkowa,28,28
207,01-464,Warszawa,Mazowieckie,Parkowa,22,17
208,80-761,Gdansk,Pomorskie,Koscielna,44,31
209,90-001,Lodz,Lodzkie,Brzozowa,41,35
210,71-004,Szczecin,Zachodnio-Pomorskie,Kwiatowa,30,50
211,60-967,Poznan,Wielkopolskie,Akacjowa,59,3
212,15-102,Bialystok,Podlaskie,Lipowa,70,46
213,80-761,Gdansk,Pomorskie,Kwiatowa,57,2
214,15-102,Bialystok,Podlaskie,Ogrodowa,13,43
215,90-001,Lodz,Lodzkie,Koscielna,31,20
216,35-085,Rzeszow,Podkarpackie,Lesna,15,38
217,71-004,Szczecin,Zachodnio-Pomorskie,Parkowa,49,4
218,01-464,Warszawa,Mazowieckie,Akacjowa,92,36
219,80-761,Gdansk,Pomorskie,Polna,70,28
220,65-751,Zielona Gora,Lubuskie,Akacjowa,98,23
221,15-102,Bialystok,Podlaskie,Sosnowa,44,39
222,60-967,Poznan,Wielkopolskie,Brzozowa,23,41
223,71-004,Szczecin,Zachodnio-Pomorskie,Sosnowa,38,17
224,85-461,Bydgoszcz,Kujawsko-Pomorskie,Polna,41,10
225,31-403,Krakow,Malopolskie,Lakowa,56,43
226,31-403,Krakow,Malopolskie,Krotka,24,44
227,40-203,Katowice,Slaskie,Brzozowa,45,30
228,15-102,Bialystok,Podlaskie,Kolejowa,2,43
