1,Zabiegi,1042,18885,4461
2,Badania,1871,38780,4436
3,Wizyty kontrolne,4575,26133,5894
4,Wizyty kontrolne,666,14727,2639
5,Wizyty,6615,11930,7090
6,Wizyty,5636,17342,9437
7,Wizyty,7441,3128,9099
8,Badania,8488,31543,7510
9,Wizyty,479,32261,3958
10,Zabiegi,8948,8985,2747
11,Badania,537,4489,1059
12,Badania,7181,5084,6136
13,Zabiegi,7076,24637,8441
14,Wizyty kontrolne,8170,24140,9987
15,Wizyty kontrolne,2576,17743,268
16,Zabiegi,5003,21126,5036
17,Zabiegi,513,19292,7353
18,Zabiegi,6566,34489,1101
19,Badania,618,20788,1686
20,Wizyty,3167,17766,2794
21,Wizyty,9117,8858,3076
22,Zabiegi,5239,33376,8639
23,Wizyty,9807,29185,2558
24,Badania,3184,29196,7606
25,Badania,8684,29583,8377
26,Wizyty kontrolne,8324,22626,1392
27,Zabiegi,8556,7197,8052
28,Zabiegi,2523,29673,9081
29,Zabiegi,8303,23668,7303
30,Wizyty kontrolne,3883,25982,9798
31,Zabiegi,4949,15377,4917
32,Wizyty kontrolne,8219,33741,7031
33,Zabiegi,4952,18401,3499
34,Wizyty,4258,9622,5879
35,Badania,2461,30981,2625
36,Badania,9081,8617,5561
37,Badania,7583,28303,7397
38,Zabiegi,5698,2986,1498
39,Zabiegi,4767,21251,8805
40,Badania,4487,10829,6196
41,Badania,7660,1302,4739
42,Zabiegi,2578,23962,2342
43,Badania,3781,14834,5232
44,Wizyty,4753,4969,9230
45,Badania,2432,7791,4995
46,Wizyty,5858,25127,2993
47,Wizyty kontrolne,5546,2395,7345
48,Wizyty,4743,5775,639
49,Wizyty,1223,30003,3157
50,Wizyty,8365,32434,5154
51,Badania,1083,935,3478
52,Wizyty kontrolne,165,30383,941
53,Zabiegi,4886,12505,5141
54,Badania,5142,5946,926
55,Wizyty,2763,36062,1582
56,Wizyty kontrolne,5973,3929,7085
57,Zabiegi,112,3771,9556
58,Badania,1138,33825,2893
59,Zabiegi,1965,17192,8470
60,Wizyty,4649,17981,2056
61,Wizyty,9126,31568,2335
62,Wizyty,9313,39,389
63,Wizyty kontrolne,9023,19727,8495
64,Wizyty kontrolne,8607,4909,3875
65,Zabiegi,1176,18418,8692
66,Wizyty,3972,2604,7293
67,Badania,9873,10874,5926
68,Wizyty kontrolne,965,24216,661
69,Wizyty kontrolne,1409,1816,8292
70,Badania,1414,1010,8906
71,Wizyty,6241,6194,5993
72,Wizyty,7150,1999,3620
73,Zabiegi,6349,27164,8683
74,Wizyty,7448,16728,9668
75,Badania,3548,31456,4344
76,Badania,4079,3140,4295
77,Badania,3010,7094,6760
78,Wizyty kontrolne,9708,38366,5425
79,Zabiegi,7242,22475,9792
80,Wizyty kontrolne,8517,23109,6260
81,Wizyty kontrolne,3878,35454,395
82,Badania,5207,31654,5032
83,Badania,425,33822,1264
84,Zabiegi,6067,33156,8594
85,Wizyty kontrolne,3303,31213,8289
86,Wizyty kontrolne,7425,38577,351
87,Badania,6528,19935,5383
88,Wizyty,5295,29713,2199
89,Badania,707,7771,2985
90,Zabiegi,249,24029,8284
91,Badania,4760,36088,243
92,Wizyty,7742,10781,9754
93,Wizyty kontrolne,6110,3137,2993
94,Zabiegi,2985,36013,1527
95,Wizyty,1026,13489,3651
96,Badania,8766,11832,4209
97,Wizyty,4783,6391,232
98,Wizyty,7043,21568,660
99,Wizyty kontrolne,7620,28595,5909
100,Zabiegi,8978,4179,9252
101,Zabiegi,4813,24886,2204
102,Zabiegi,6377,17110,3148
103,Wizyty,7020,10310,3592
104,Zabiegi,2647,6398,6711
105,Wizyty,4944,2263,5853
106,Zabiegi,5569,8018,7573
107,Wizyty kontrolne,9536,26706,7978
108,Wizyty,4029,22762,9682
109,Wizyty kontrolne,5517,4369,136
110,Badania,3063,38066,5908
111,Badania,3597,11360,5721
112,Wizyty kontrolne,1267,32748,7973
113,Zabiegi,4453,9484,1005
114,Wizyty,5647,32929,2004
115,Wizyty kontrolne,5331,6869,4366
116,Badania,9016,26378,2740
117,Wizyty,822,31591,4264
118,Wizyty,2205,3842,5862
119,Wizyty kontrolne,5835,16363,9766
120,Wizyty kontrolne,4271,15763,4349
121,Wizyty,9931,13528,5955
122,Wizyty,6997,22958,4272
123,Wizyty,6439,11115,8112
124,Wizyty kontrolne,7349,9455,8566
125,Wizyty,5460,5101,3756
126,Badania,2702,28763,2248
127,Wizyty,1879,32626,5098
128,Zabiegi,249,24482,881
129,Zabiegi,2636,5270,782
130,Badania,5997,25823,9089
131,Badania,5185,4479,9151
