1,Norbert,Andrzejewski,,,4500.0,17129,37901,4909,9
2,Jola,Blaszczyk,,,5200.0,12038,6951,6443,50
3,Ewelina,Jankowska,,,4200.0,26417,6775,3448,74
4,Anatol,Krawczyk,OsY53vGK4853GLecEdv53eAvsP48MdPUbtS535050AmAfBV55,5556sV4851JpW53S50iJSY5656B545253Y48XM55GV5650uJIEX5254g54,4800.0,8443,27853,8844,56
5,Marlena,Kwiatkowska,,,6900.0,28826,16397,217,47
6,Oskar,Wisniewski,,,6700.0,4991,9619,7471,97
7,Zofia,Maciejewska,xeL5352495052X49lEI55N,49m48YyR49ro50fSb49t,6600.0,5693,23177,8085,59
8,Remigiusz,Malinowski,,,4200.0,14046,723,2045,48
9,Ewelina,Piotrowska,51I5251ejdvQ53o5156lFxlSrGG4951mV51D5648fi,53a53j48w56495654M51uVj5352Y5055CXhX51el50IDr,4600.0,2673,10500,1905,32
10,Magdalena,Kwiatkowska,h544855YRI5556505255505552r56f48y53,F51lV54F52l56dST5455sH4953535551,8800.0,28207,975,7799,55
11,Otylia,Kucharska,,,4340.0,2395,35094,6084,96
12,Nikola,Marciniak,BY53dmdxh56NmNFn50i56WIpJLgEI,w56BxRwFqkp484956UQxm50Y5648IBV54,6700.0,12574,11518,1784,47
13,Emil,Kubiak,,,4800.0,26036,13425,2130,84
14,Joanna,Urbanska,ks54PSH5349ObdPuc51R5353tQ49CnSY48GwHH4856ef,A4953H48qygRNmrArFvEaF5656Ot56MVyaiXbLhe,4900.0,13360,37566,8534,53
15,Zofia,Zielinska,X5256GNh4954EY4952kg49K5654Y51mC50j52fB55E49484948V49x53Mwxq5456,aMij56Rf48aXhWx5549515055ScKRkLq53X5648LY5353lJ514856HCSk56,6600.0,19922,6413,597,20
16,Ewelina,Sawicka,48W484854D545455KMKeJ55wBnqio5253505049,Vvl54RYFE515250OQ52515450484848f56cb50O,5600.0,29918,16313,9087,75
17,Jozefa,Szulc,,,5200.0,11141,29753,1334,93
18,Bartosz,Krupski,idb56E50v48du4951CxCMANjvu5450OfLO,N50FIprYsEO50OX54iELMxiY50qITmg,4340.0,12874,2033,3197,19
19,Boguslawa,Piotrowska,50AMr56rB53Xdf53iv494849ML51E525356cqR56c485650jqHH55tgiQgl,RqC5349HiGd49B5249GmrCqveDj54K5555r54a4949ya49IIqjO55t5353,4600.0,20344,23942,7917,11
20,Alicja,Zawadzka,eDpcASyi56JWI50R5050Tyyima48VTm5055Yp,P51J56I51I554954Lal5053ppSx5349Ju5154aOT50C,6100.0,8666,29930,6710,78
21,Franciszka,Adamska,,,5100.0,1201,27834,4172,18
22,Alex,Rutkowski,565252tjY50525454uiyLnw4950nAo5348THnc52d515449P,aC515253W50uV53bEq49K49q5449TkKrl49jcsk51fkm,5100.0,13189,11974,8509,2
23,Emil,Walczak,,,4800.0,8332,32175,6962,73
24,Jaroslaw,Krawczyk,,,4640.0,8495,29361,5805,54
25,Oktawia,Witkowska,mBICJgbl56qmXLt52V50egWoCX54gL49BBLn4956,56uhuiAJ545053vybAw54Jx545348TXasaYFHF50Xu,6300.0,5608,21285,7512,12
26,Alex,Wisniewski,,,4800.0,15080,5317,5871,4
27,Norbert,Kubiak,,,5100.0,19891,2236,2378,29
28,Kajetan,Kolodziej,,,3700.0,16967,39681,4184,96
29,Norbert,Zawadzki,,,6650.0,7085,38334,2608,83
30,Konrad,Kubiak,OCkJ5251mp494955V5156qbi,f50xohha55C48l56T49l49A,5600.0,27279,472,3848,69
31,Remigiusz,Walczak,,,3700.0,15801,6707,712,96
32,Luiza,Urbanska,,,3300.0,20749,38267,7598,80
33,Julian,Kubiak,tbF5252OXU52r535051Uw5255Vd5455p53G,w51fBGDkgOp51E56C5553uRiQr4848Q,8800.0,23969,22553,4207,55
34,Iza,Szulc,,,6100.0,14122,38303,6480,2
35,Oktawia,Glowacka,,,6300.0,16840,11972,5513,5
