adres_id,kod_poczt,miasto,wojewodztwo,ulica,nr_domu,nr_mieszkania
1,20-218,Lublin,Lubelskie,Parkowa,47,13
2,90-001,Lodz,Lodzkie,Lakowa,95,19
3,80-761,Gdansk,Pomorskie,Szkolna,6,35
4,31-403,Krakow,Malopolskie,Brzozowa,23,47
5,90-001,Lodz,Lodzkie,Parkowa,65,13
6,51-416,Wroclaw,Dolnoslaskie,Kwiatowa,71,46
7,20-218,Lublin,Lubelskie,Polna,47,50
8,20-218,Lublin,Lubelskie,Parkowa,25,9
9,90-001,Lodz,Lodzkie,Sosnowa,0,18
10,20-218,Lublin,Lubelskie,Lesna,97,50
11,40-203,Katowice,Slaskie,Koscielna,27,46
12,85-461,Bydgoszcz,Kujawsko-Pomorskie,Kwiatowa,64,41
13,90-001,Lodz,Lodzkie,Krotka,62,50
14,80-761,Gdansk,Pomorskie,Lakowa,40,24
15,25-900,Kielce,Swietokrzyskie,Ogrodowa,92,6
16,71-004,Szczecin,Zachodnio-Pomorskie,Ogrodowa,21,23
17,51-416,Wroclaw,Dolnoslaskie,Szkolna,25,18
18,31-403,Krakow,Malopolskie,Kolejowa,32,3
19,25-900,Kielce,Swietokrzyskie,Zielona,22,42
20,35-085,Rzeszow,Podkarpackie,Lakowa,27,46
21,15-102,Bialystok,Podlaskie,Ogrodowa,90,6
22,85-461,Bydgoszcz,Kujawsko-Pomorskie,Krotka,15,6
23,15-102,Bialystok,Podlaskie,Lesna,81,10
24,40-203,Katowice,Slaskie,Sosnowa,17,27
25,20-218,Lublin,Lubelskie,Koscielna,8,9
26,20-218,Lublin,Lubelskie,Polna,21,27
27,51-416,Wroclaw,Dolnoslaskie,Lakowa,70,31
28,31-403,Krakow,Malopolskie,Lesna,1,45
29,51-416,Wroclaw,Dolnoslaskie,Sloneczna,52,11
30,51-416,Wroclaw,Dolnoslaskie,Ogrodowa,86,50
31,45-309,Opole,Opolskie,Koscielna,97,28
32,15-102,Bialystok,Podlaskie,Sloneczna,93,27
33,85-461,Bydgoszcz,Kujawsko-Pomorskie,Zielona,99,17
34,60-967,Poznan,Wielkopolskie,Polna,75,9
35,31-403,Krakow,Malopolskie,Kwiatowa,28,1
36,90-001,Lodz,Lodzkie,Szkolna,73,49
37,45-309,Opole,Opolskie,Kolejowa,21,31
38,80-761,Gdansk,Pomorskie,Lakowa,89,42
39,90-001,Lodz,Lodzkie,Zielona,34,38
40,31-403,Krakow,Malopolskie,Ogrodowa,34,30
41,25-900,Kielce,Swietokrzyskie,Sosnowa,31,46
42,65-751,Zielona Gora,Lubuskie,Akacjowa,47,1
43,01-464,Warszawa,Mazowieckie,Brzozowa,52,23
44,15-102,Bialystok,Podlaskie,Zielona,76,12
45,90-001,Lodz,Lodzkie,Akacjowa,81,31
46,60-967,Poznan,Wielkopolskie,Polna,78,7
47,90-001,Lodz,Lodzkie,Lipowa,22,28
48,80-761,Gdansk,Pomorskie,Zielona,99,5
49,35-085,Rzeszow,Podkarpackie,Polna,20,23
50,31-403,Krakow,Malopolskie,Parkowa,48,26
51,40-203,Katowice,Slaskie,Lakowa,1,23
52,01-464,Warszawa,Mazowieckie,Krotka,68,18
53,71-004,Szczecin,Zachodnio-Pomorskie,Parkowa,4,31
54,10-900,Olsztyn,Warminsko-Mazurskie,Szkolna,91,21
55,20-218,Lublin,Lubelskie,Koscielna,50,29
56,10-900,Olsztyn,Warminsko-Mazurskie,Polna,96,24
57,31-403,Krakow,Malopolskie,Sloneczna,5,25
58,51-416,Wroclaw,Dolnoslaskie,Lesna,70,31
59,45-309,Opole,Opolskie,Akacjowa,65,25
60,20-218,Lublin,Lubelskie,Lakowa,95,2
61,01-464,Warszawa,Mazowieckie,Brzozowa,9,27
62,90-001,Lodz,Lodzkie,Krotka,79,48
63,20-218,Lublin,Lubelskie,Zielona,22,37
64,71-004,Szczecin,Zachodnio-Pomorskie,Koscielna,2,26
65,60-967,Poznan,Wielkopolskie,Zielona,96,45
66,71-004,Szczecin,Zachodnio-Pomorskie,Lesna,69,2
67,15-102,Bialystok,Podlaskie,Koscielna,66,17
68,01-464,Warszawa,Mazowieckie,Koscielna,8,32
69,31-403,Krakow,Malopolskie,Akacjowa,58,8
70,71-004,Szczecin,Zachodnio-Pomorskie,Lakowa,35,44
71,01-464,Warszawa,Mazowieckie,Brzozowa,38,22
