pacjent_id,imie,nazwisko,login,haslo,pesel_id,kontakt_id,adres_id
1,Emil,Brzezinski,50985051100527250119105568051514956120551155354,48771005311849665310351688348499750119108885456,13088027337,7212,26782
2,Kewin,Marciniak,,,61124651421,4498,24485
3,Jozef,Szewczyk,,,57747460188,6874,22533
4,Grzegorz,Krupski,,,16780166056,35844,13847
5,Oskar,Marciniak,106775671104100765010255651041175452,4879121536810888678649566650102106,68637325387,134,28766
6,Kazimierz,Marciniak,9879104665467104658551761195312086521089986537611666541111037548795510073102114117,7249481141091079812010255105538350117117511211155299108102781025173787410798861014989,52603045723,31669,23057
7,Franciszka,Kwiatkowska,,,14522076732,4890,22606
8,Kazimierz,Andrzejewski,551045251116561188880105498648561081217673,1197889565187107101561191128812110483898387,58715020203,30725,5969
9,Gustaw,Malinowski,79841215582695011599718855704810978103565156111,51668311682988455100114119654856555550975510372,85863447475,1313,21644
10,Franciszka,Ziolkowska,,,68184440632,17369,13371
11,Oskar,Duda,,,78721846885,320,24050
12,Barbara,Pietrzak,481077156551119970511078569103518972868680108118,1211011191101166789794956484874103488310752977470,47135848881,7333,2078
13,Andzelika,Tomaszewska,88547850114491007079869854565698515179541175252102101521214983114537611911178,67491145183821007783488849547187761028553558456108758482120531117782685472,81812355251,7355,26265
14,Teresa,Zawadzka,49558166565177549910410511189686972558712150736678,5676108102857812073731047910051789956655010566525550,50282523825,6476,19790
15,Agata,Kubiak,,,61265226082,36963,22569
16,Agata,Gajewska,,,08218042058,16079,13382
17,Jaroslaw,Krawczyk,78106558710610848498051116545666777149110,495555495377105741005166831114865797650,66211833830,14099,25264
18,Monika,Kubiak,6553551045098544848100791185653105115827685885210276,5111710553701216772114557312171655511567786568108120105,13580132674,35812,16197
19,Emil,Andrzejewski,51119485473735273685010950771128210281567311478108741106879815210567117,48116109651155471691137411210080110118764853109121801118210810210985677610973,11358544157,25754,11498
20,Jowita,Marciniak,741211185354735310667747787488853671141215571,100105787550685253994810211611210911649119487048,52777231558,2965,14662
21,Alex,Rutkowski,11298741187410571548853548450851031035410371481101121176750665086565010680531071075053109778966,8966527065117684910211448107675611449528256545272115887770729750748473506799485511149108113,45443350545,30298,675
22,Arleta,Jankowska,,,54826011747,17566,15892
23,Milena,Gajewska,,,00701827340,22792,18510
24,Oktawian,Malinowski,,,24672121520,28095,8608
25,Jola,Szczepanska,,,72117756254,30522,13144
26,Anatol,Gorski,4952110541181205697795280771141181034811951521215510310512111752114,509855557870784855841068911210899551144955501218055117495050,73242232162,12246,18248
27,Pawel,Witkowski,,,45688017125,32237,4001
28,Franciszka,Zielinska,48508878537711465898076108515465497089111100100535310811775117654881110,4810766785410611211456113501187589875110811648716712098521115375109789869,58740642021,1622,24202
29,Oskar,Wisniewski,,,13640430213,19456,28938
30,Eryk,Kubiak,,,88838303505,21293,18391
31,Aleksandra,Gajewska,,,08207230385,22460,845
32,Jan,Kwiatkowski,,,55680715663,33446,19227
33,Lukasz,Lis,7981105485274115100116116899948685185117,10155551181181005356110519948735510066115,02761407858,19176,9893
34,Kazimierz,Wlodarczyk,768852108557148104658948551138310182515512111451100701175097106524811311312168,801218282685511911010411489110786987101811157173505048511139888839766548982,00883473886,21310,3590
35,Aleksandra,Gajewska,,,62616168324,33304,27065
36,Luiza,Pietrzak,11969971019755757810168564848821091008972,491147810050102808153110545011449996611549,37772352681,7684,27473
37,Czeslaw,Kolodziej,,,81176660762,21679,1384
38,Katarzyna,Gajewska,,,02725506671,17756,20888
39,Marcin,Walczak,,,24136678664,27420,20924
40,Alex,Gorkiewicz,,,73867133175,33028,5244
41,Gustaw,Lis,525451511081197083100569949675278525210397878388121,106658053555670744812155100113120791211191147870505052,03407516328,39536,16613
42,Jozefa,Jankowska,525348521018581100691106666113788881847148100815554536577531127854118,50105118717611511377494811852120984911610356715688115534883545397567652,35484853387,14343,26045
43,Barbara,Zielinska,102667370881198412155801141097155481188011874534956,11272497056831091174910855785149535510448519911255,80275052830,16311,17630
44,Otylia,Kucharska,,,66437173634,10350,16424
45,Otylia,Kwiatkowska,,,73025226416,14593,18652
46,Klaudia,Baranowska,,,45771722424,7567,15120
47,Konrad,Krupski,,,28120350257,27513,1269
48,Emil,Kubiak,1026653106105867511368106801107511479118755067518910511169106505097987452,53704911353113106113116565356106759769106561137084498149845497116975449,48536224288,23296,14657
49,Kajetan,Wlodarczyk,,,13733581417,32662,7280
50,Alek,Wozniak,,,03183500337,5176,18018
51,Eustachy,Przyreba,9883488110989116112657498735311653117657086725351,851137211770889975481065051481195510155487510349113,12741082151,28504,20188
52,Marlena,Jankowska,72115118725210966105891009978531125348511201205065103485451,112487369717455102525550871157152111114789855538310610850,66777001336,23467,253
53,Oskar,Kucharski,,,43873460686,25185,24576
54,Leszek,Kucharski,495611752786577838610255103541034911955481114811011955561091181105110580569953747853,83701158875103491066511811169102855111448529884815510788118514953864851491085655101,51334384706,3067,28334
55,Jozef,Marciniak,,,52418167430,29453,2382
56,Otylia,Zielinska,,,81527552240,14631,21778
57,Kewin,Szewczyk,117499710349505153681011077310412152865275,495066112548512111110549117545079741035579,16718071756,18344,29682
58,Jozef,Zawadzki,50119735270554871895411210354985154,1155411850105797749567410379721188249,60078882237,20019,15492
59,Alek,Kolodziej,,,01333722836,38555,1218
60,Leszek,Wisniewski,1008253796510011782103711131091071071018653531027082107101108118555187511116911511655104,49991105375117786711177116691125355113837486755176497497724985107526610411410669,10228251573,5691,22323
61,Celina,Szulc,971129856104111851195551694954495110655755488887755108106497978119115108761105680688453,5510665107106541005312152701081055311586775197991155653831069849119118505354674988507949,04174032827,13958,17076
62,Milena,Gajewska,,,23152827815,38538,4330
63,Agata,Maciejewska,,,17073761243,9509,24212
64,Bartosz,Krawczyk,,,54108172431,11849,15098
65,Nikola,Krawczyk,85555173537710610510550678397515197561046868811158811753114825270,65515356565675115727110697106113795389536854686874687653535553,33470373468,14222,9275
66,Zofia,Sikorska,87491195155109565011869491181078210775118,5355120485554120887878688811278100118119,26372082488,32855,5983
67,Jola,Gorska,796984715210211210097116869897535581118105108837597691064911610269525067,525153525485107538849535171555311110610254538811710355778910676545056,50853250711,11700,17827
68,Agata,Nowak,83751076811649488311769659780105858852100828551551125411153102103557812155102120113116,98536956105805449505154976584545581835410656718556111975365111717873118536673,65611536114,29766,791
69,Alek,Lis,121501115651112871151167098738153766572504966685211150,547899728065548312174115551125581108120108568052737068,62502034840,33251,19650
70,Jowita,Gorska,4956518297817810711310373511217756548098491045368654978858410366,528451757610753977598795148108569751705053711075311110770875450,60526355023,24402,8902
71,Gustaw,Przyreba,101107806982118864954495288517711165109985610353102118821057453536611110553,98775011880511067081511101055265491009948108515510249106506680115485654106,13331772316,11240,20621
72,Marcin,Duda,,,80436532605,15010,7011
73,Jaroslaw,Wlodarczyk,1078466104664911675117118116675089108535181118566551,9852835268497349998148505573108113113761015281115,45461787235,39737,66
74,Eryk,Przyreba,659956691025455887783996811111749100807687526887531207384745552555654118120496670101113708651116106,11982481085411511848101102119116121798810710571501036573119871195474558172495398971091111066648109815311954,40501800230,539,27938
75,Celina,Baranowska,71111108698853531135556113115103113114,1201185351491075189805354525011872,80077640130,38039,19078
76,Nikola,Przybylska,48517188879987107103667511611812189521208351,504910676107791081001205354557756711177610188,32586304531,2183,13027
77,Andrzej,Jakubowski,70505656541191161038954554956488065481147070891208654485311412110711655115112481017611256817366,9983116525076487172524911910477548552521138554818775481175555705148751074982696986878567,23306623516,39788,11806
78,Eryk,Kolodziej,714975558672827888565471715310849481191171056710666736955110568110511311111274815268,5112051508351995348106107548276676783665689114116557497758376100664951531131117149,11380633154,724,20295
79,Marcin,Wlodarczyk,,,34170008113,25849,15856
80,Anastazy,Krupski,,,30323122650,13814,16580
81,Antonina,Kwiatkowska,535253891071108380691141085366114545172108997277,78788384120988610410574121721095310676491211135371,64224464172,14307,22923
82,Maja,Jankowska,,,65840067336,16443,796
83,Alan,Laskowski,,,30236188421,19840,18283
84,Klaudia,Blaszczyk,53104727252661061091047611397567811951564910512154,119111102998852666880705354821201104852806854107,54020553310,18305,19162
85,Luiza,Kubiak,,,13162427351,7915,17688
86,Marcel,Kwiatkowski,781049852521081039753537853507051857373116117102109,675699118977711570741187472121507249111114711095150,74073007248,34090,15833
87,Norbert,Krawczyk,,,86357240084,25626,439
88,Jola,Kucharska,,,60274126803,10510,13010
89,Oktawia,Gajewska,4811675827972557656785311183536548851201031168377855349814949118,525155745454536651114977552898076864952567452487548538310652,30050342815,6156,26137
90,Milena,Zakrzewska,,,22076445721,11452,300
91,Boguslawa,Chmielewska,,,83130157252,38816,10671
92,Jan,Gorski,,,81102225110,29020,27073
93,Magdalena,Glowacka,695253516675985511371811215256113100511075349120100808255871204897111105841205451111,885497506977745650555689671037948556668120113548854871078167117561207352807176,88764088542,37973,12952
94,Julian,Kozlowski,,,66640606512,6235,8387
95,Magdalena,Sikorska,9955121697574103501001049874515671102506556117561201061111195688489953794973687152115654955557599,52114566679110104105551001196911911250121755210389677682118119534810411550504856568185868885701114949,58001875333,10023,5170
96,Luiza,Przybylska,,,74564331200,16345,6643
97,Cezary,Jasinski,66109796985971134849494852527355102109669954114100114113665249,89807886105981025210981569856769910611611212049113101855210989117,05330633601,34341,14929
98,Andzelika,Zawadzka,,,28576762112,18220,16805
99,Bartosz,Zalewski,,,73805361024,17569,21357
100,Emil,Zawadzki,5384501191015352117985654120105517750508810472541045652100707478104495412011474117,65484856495466501031134948497654995110273857774877453845455110667879678352,36123575135,35668,5035
101,Cezary,Jakubowski,,,31082254210,28159,5821
102,Bartosz,Gorkiewicz,52495549719911478707748487811111310188101554949104119105707210948120505055,67885065821176750718051745249551091001181011111195611510254481215170766848,05601415304,24748,1290
103,Kajetan,Gorski,56751125611111155781081211101009976675555102831125152,54120776611189568866101113875297761128810511888120107,26275023011,22065,22149
104,Kajetan,Duda,,,24521802288,6737,2664
105,Konrad,Witkowski,891041078868511158410688508810268775010356987949511167882,485488117541086556488856505012151837449547588697099118,78447124388,17384,14440
106,Celina,Witkowska,,,76025488415,14480,5308
107,Arleta,Pietrzak,481175312110510250785476751085052975153113546911270121541127983104,110102977910389113113535088499784668352119498280695510680667968,11717318406,3209,2037
108,Alicja,Baranowska,8256531081105076656579974868104675671535655824899758010910353856710011911948,10975103102491117748655474867711710211212053545655748049759968551045450865473,36815321510,2252,9165
109,Marcin,Marciniak,8610854681035610355524911848111725048111103,728974851151086870785449117103101104798455,27414374381,2410,3623
110,Kazimierz,Kozlowski,,,54825267032,30565,10562
111,Aleksandra,Piotrowska,775283995250721091025051661055050114881101191214948107551165580118567355718486,101528911753798854515583100103985272881134911751651051211111211075348104111547253,88125124868,15619,15265
112,Lukasz,Witkowski,,,13285207240,34533,14346
113,Magdalena,Gajewska,82107118112121501027955100109501057250521068799104505252120,50556673815052112978254841047111755115525448104665097,66343087644,12608,24087
114,Norbert,Laskowski,,,63260253148,163,15306
115,Katarzyna,Gajewska,764950755488531145311010785867155898610611211749488311211356,4851764876108831108250798750551131121167910676977853735574,34374134586,19038,19997
116,Marcin,Walczak,,,08662502856,21394,5701
117,Oktawian,Przybylski,5488111118831008249104775655501141127073971118854829899865011886698010752505611150885166538612052118,12084548811599117754956537712150485448495054515288975155110101717950117119878297113507566105494848,32850036511,37129,28859
118,Oktawian,Kucharski,4855118495511976711045187875449524910754115667254549771102118,767650495065505072795465511117577658810055545352857189119,60185330701,27681,603
119,Anatol,Duda,55768465726811249107795611711310112067501117999104555670100101109568580557950484898,8551515097481097472495350115865311155744911010170675684971217787687210584517068,05006522575,9661,7416
120,Jozefa,Pietrzak,,,76707610560,22893,3678
121,Andzelika,Piotrowska,48114536755708565106481047997891168197119537454481211177353536550,8398531094977117718410365834972799710988109110755051688749496687,66575221414,33754,5088
122,Leszek,Jasinski,,,45646567244,28283,24943
123,Katarzyna,Baranowska,,,81066022886,22079,5993
124,Elzbieta,Witkowska,7766681065511710810052735154113685466697055119737953855410310570865656120801085152487478,51118535555494989546754112541167111051118895312010756487554116119685050121119755048526971,64384036605,26416,6585
125,Jozefa,Piotrowska,11811056685155659912166481075056110495311249658511353491038348,48494850103484855756710376841005452511167311154495156487253,80766835822,27642,26009
126,Otylia,Gajewska,1118653711124878102771209911584667976828611671501155256795649103120,1025249116726653100829781557478557865102859782561127310652538254,27718182786,28188,23523
127,Artur,Wisniewski,55101119507783698372775611965797712054535353,113565367688950120106988711952121695211168102104,32065550584,34365,26220
128,Jan,Marciniak,1055248775370527773491066611348487948994956887752541091126510453857610784,119121103521051055050684997118505368794811111256717454728583759852881069774,81538017226,7074,20331
129,Eryk,Kubiak,11867100100545310810750805511283521007368113815310249114771161191214951531177798564878111104104107,827389896785861121201024983888972745187495554481077475775310198118766610752100119688910397,84171051125,27724,29827
130,Otylia,Pietrzak,508312081546979871036755765610179,69568811181113861027611353814848114,83710326042,31313,15972
131,Andzelika,Chmielewska,,,18457035761,9220,20120
132,Marlena,Piotrowska,,,45231400064,6233,14932
133,Klaudia,Gajewska,,,67047712122,8000,19990
134,Alex,Wisniewski,55871131171085511366105818099815549515310553107997356101861049954721011218589120,1175351997351885568121985179857785855211652535411710011510348104101821047510353,03813884831,31509,19015
135,Celina,Brzezinska,551091004911111210511111851885353888389,5152781214888555254758081116738952,00777688235,12708,1830
136,Marlena,Glowacka,10912065857911165981006886781091107653108535053104,7668748354721025351555069505510073115107485074,07832641007,2888,9513
137,Czeslaw,Sikora,,,56631817018,11601,18377
138,Katarzyna,Wojcik,,,22713635107,5255,11513
139,Marcin,Wlodarczyk,,,45273246334,31413,160
140,Jola,Ziolkowska,,,51444687810,33846,20213
141,Barbara,Kwiatkowska,,,26485640683,24695,26069
142,Oktawian,Laskowski,,,02823713584,29658,27928
143,Remigiusz,Laskowski,,,12726052475,32716,6519
144,Emil,Krupski,537910883981031055011574897884851147210784495298746986494986744849881078451537280725452508275,67515479120485654105108835268103521154911870696555876772108485475768310469894898675111775847379,72058571784,20087,24431
145,Celina,Sikora,5511310066761126954481091074810782765351507771117,701155581524910948987352744881567811255787950,67457318465,3598,1034
146,Alan,Duda,,,40406446880,5732,5726
147,Marcel,Brzezinski,,,22806453410,19356,9432
148,Helena,Adamska,8356661091075276113781209982545050,111558355509910783507849115827583,66803010578,3684,3132
149,Eryk,Sikora,,,16317187485,30188,1164
150,Bartosz,Duda,11052498248537089100112114114895352,50551091218848118107805610953558050,16084327745,775,15716
151,Franciszka,Pietrzak,9811882117485210653102868672785373541159988118103,115487710249107866748855210785115517774851035188,07755777815,8610,8788
152,Oksana,Nowak,,,32733748220,18603,10224
153,Czeslaw,Przybylski,5182110845248102777673695389751194882120558165724983866769481195275120100,785098108511186978106651031127910910084835178105498182805267104509768120119113,77007460581,31144,24442
154,Norbert,Wisniewski,,,26086688741,7002,13506
155,Aleksandra,Pietrzak,5498104554910066717612110583987954120114735567977849521201115249494978103758251694955121106,110518612152815556665076115491186586101102105668048489710788874910486488477745373119895384,55147043663,11796,26743
156,Oktawian,Wlodarczyk,845511271757066831151194810655118871194911875551011161081155511781565184103898510448105554952,841126948106103991151055311111180567710250111110707650535410854110515411784115481028511510510155,85074838640,29120,7006
157,Konrad,Zawadzki,1206612075761131115610310286120106875210210853105871141211107411311356110681021141155487116107,1148380785069119564969886598103109745510054106551091198889715249681019748651187386,31644453327,3591,26041
158,Nikola,Pietrzak,706798103494887102112104715176121997848545210474120107531031201109711210069113113545611188,10453667548854910848975098515371516575857411566891155351765467481088689711217748,70483681503,25040,5515
159,Kewin,Urbanski,,,54071323808,12309,3710
160,Katarzyna,Gajewska,,,03112364484,27699,21457
161,Eustachy,Wisniewski,67841041101008053111777412053501081107810950,515175547553985181831071006950705310477,72102522302,1176,6914
162,Otylia,Szczepanska,,,20611388388,6793,18694
163,Agata,Szczepanska,,,12206366344,1675,5734
164,Jola,Przybylska,,,84246362667,29502,7222
165,Jaroslaw,Marciniak,,,80268277834,34992,27771
166,Bartosz,Walczak,,,04410374201,27265,4786
167,Artur,Marciniak,1151066951767668119871165298547310699501161185649496511178114,99711068751102120525111855531131011019848101818853121876910386,60135402537,6593,8225
168,Remigiusz,Urbanski,,,60835163825,22720,9964
169,Barbara,Brzezinska,73102107117107737548101675355541085452111976955108117105118111112116528111480531074998,10949115118501041191005474119525355485011984102112113698210411749791188550104505510350,41815160755,22553,14155
170,Elzbieta,Zielinska,,,04804084126,16044,24182
171,Pawel,Malinowski,,,38061357827,26279,17454
172,Jozef,Malinowski,,,64213573282,39799,22927
173,Kewin,Walczak,505155544910311951120808981671148948801076610049,53771061125152116554948568610212011756101506510280,62254820457,34372,20554
174,Otylia,Jaworska,,,45340311400,27202,27249
175,Bartosz,Wlodarczyk,808711977100671018753497654755286,485511156759954666755107827168105,35580574847,9715,2993
176,Bartosz,Urbanski,1005449106775012183535355110100875549547111811712148891148710267,1005410398526652864883118119516910779898212010855848869805454,84284014800,1795,28974
177,Kewin,Malinowski,,,13405482202,528,14183
178,Alek,Przyreba,,,32513407806,15393,22041
179,Teresa,Pietrzak,,,08820424141,7135,18189
180,Marcel,Rutkowski,117104107548598117531135272495311687824948751159949689848,50501115150505677551121104911211910889485211110755118488880,87308710765,11434,21742
181,Norbert,Kowalski,,,35315341545,12705,6032
182,Oktawia,Piotrowska,,,23725287883,9898,8194
183,Agata,Szulc,5510468751176780106528510350541118188491038248761005610410484545011311172115738610254535470100,1055271764899486871113841037456105557011276521167910811752991214966557848103120535088658183,22181614836,11501,14736
184,Agata,Brzezinska,,,71270254486,24890,2950
185,Marcin,Rutkowski,,,87200577876,33605,9479
186,Konrad,Jasinski,112100110996585538184666584495110910848695610110375108741025549105557785804972886610311065,102117796949118514950838198111495584977975119110655411553811111215348727611348116741185155,77658783717,4037,15809
187,Kewin,Urbanski,,,51346185886,34039,1099
188,Lukasz,Duda,,,26855033042,10051,27191
189,Oksana,Kucharska,,,42465256240,39069,17679
190,Aleksandra,Glowacka,835485102507352106541024951816554545255725555818710573100681121098099106824987547411187120,7610010054528798101525050113547655695011865108106103481151187279491155054517779110119119866897,64176807152,345,9302
191,Agata,Pietrzak,871141158410584857710265687811152831149712111210256488311753541028189495472511171005612010010180,1151141095610111483108113715179891165312112089488987119667048675352777249659950764854675355,01122576641,2057,5590
192,Bartosz,Walczak,,,42410243383,37510,7898
193,Lukasz,Malinowski,6688109496711385868856104745578495589120791054911271495284118118,807751100854855109725178508655888449745499111102815155798150,23381748255,31227,24570
194,Alan,Kubiak,,,85675670051,12695,4926
195,Kazimierz,Zalewski,,,20400087244,31625,12767
196,Maja,Gorska,85100104103737648101537452491208511478508986981217956108100678111848,5648108484812082491035272120108788683521021156748865448107517467108,37747134055,4430,6347
197,Teresa,Ziolkowska,,,65477831848,36480,19334
198,Maja,Jaworska,111531049855491126888846684558848531101144870735379,791205248675512172651155151767675815183113481045188,47840257453,143,5040
199,Oktawia,Gajewska,11552119111555673865483118102674954,5386991044910472104514810555857286,51433566702,19386,8417
200,Antonina,Nowak,,,06467675040,37754,25222
201,Igor,Kozlowski,,,28214140560,31349,165
202,Eustachy,Szewczyk,,,07312784734,19432,19309
203,Eryk,Laskowski,70511117956118487554685452116555269491156911151991066773506654499898,1045585567811611588106494910511710255111764950755511156531181201145211767108,51668758555,33136,1655
204,Klaudia,Zakrzewska,,,80274464418,650,23445
205,Kajetan,Przybylski,115113121781036578485010811897111517450501195455555688548253881154967106,85665170528070121104547154106555611380497656777965100751136599538550,00213516656,23040,14592
206,Antonina,Sikora,11451811011085488118731151041095153705076835256501059712183,6754105101504868525669551171145449671121075350671048610854,77820652535,36315,3769
207,Pawel,Lis,,,80856471612,9543,6581
208,Alek,Krawczyk,,,15636073564,19500,13077
209,Andrzej,Kowalski,,,06677808337,8454,17367
210,Oktawia,Marciniak,,,14851844760,18557,8036
211,Marcel,Mazur,,,24127142527,19945,25422
212,Teresa,Gorska,,,54541724805,33646,17241
213,Konrad,Sikora,6568771207397717097567382544810310368535250779773,5370110811037949761027797991021161059811449541101147949,46204216827,20461,11629
214,Monika,Brzezinska,,,48455001354,22277,9016
215,Remigiusz,Jakubowski,,,81736355500,30313,15354
216,Katarzyna,Urbanska,,,32180204375,3087,1977
217,Agata,Wojcik,,,34544540264,16400,20764
218,Zofia,Jaworska,,,67454038744,38983,14472
219,Otylia,Blaszczyk,1077448805185547782885111298103835549515575,52494881495499765410952724955841007211650100,55430502617,10172,1605
220,Jan,Przybylski,1158754481049750548987895210751487654891215348541085253496799851035456839954781115374531151037652,8286528650891031141158111849535575100775573564953481147870535410810488846710499112108718452974879102,10737840607,37771,21815
221,Grzegorz,Kwiatkowski,,,53278602423,23270,3075
222,Kewin,Wisniewski,,,33787052004,26788,27066
223,Igor,Kucharski,118103855583110481058069498574555154100538956745498,56114854876521046910486525248102557872676854975648,48823152534,22800,21860
224,Oktawian,Kubiak,891181065310667505449567675114691045078108107106784866505511911679,7911772975553489882117681018948111121771031211201061131047272747975,22737528131,18518,14888
225,Honorata,Marciniak,5481854810388751108510856101871085299,5575706854561134911810156561189982115,12682128085,30277,3681
226,Otylia,Ziolkowska,,,08711118645,18482,9304
227,Magdalena,Zawadzka,1018567485510188841177784651011019989825211051,51808848551095410249545669103561148153745453,21540672878,13020,25488
228,Norbert,Zawadzki,,,35616144203,33965,13450
