1,Maja,Wojcik,V4950oscgKOoQIi5048OFLjjwtUq5348OrdoJa54ItPQ,4856k5148k49C56IY50W53DKC55hn50c48ukTyKfIlMg5449uy,5600.0,15219,16904,7526,33
2,Jan,Walczak,,,5800.0,12221,35313,5376,47
3,Monika,Zakrzewska,5055J52X54MCoNYhj48Mk51LJQ54DNF,5555dlp53shtSeIK48LXh515153teok,6600.0,14023,29481,1318,46
4,Marcin,Kozlowski,49wG49rgk515452sX56535253VX54TT52r54,TfiM49K54e5248i53HVkWnRoS51pVb,6700.0,26641,13295,8520,93
5,Grzegorz,Brzezinski,,,5500.0,5160,7492,2978,96
6,Lukasz,Kolodziej,gW5256c48p5652M5556RHXDMoDe55n5053m48UKgXb5453Ec50A,54UcPFu53uICxm5048X54Jxys5153tWew5649PSYNDG4850b,6650.0,2179,13235,9543,75
7,Pawel,Kubiak,55HgKAU55gy49Qp495552,MTSGJ49gBOFOC52J49,6600.0,5414,29398,5525,29
8,Marlena,Tomaszewska,,,6900.0,29563,12244,6902,99
9,Anastazy,Przybylski,B51Gn48xIAM504951vVKuwg49T55mxpeXQ4856555656nL49r5155564952M,U56t56qSTjUehoLx48I5050qkb50NlGj54doclB5654RCL48n51X53,6000.0,10068,28154,3180,44
10,Barbara,Piotrowska,,,3700.0,4719,7843,2100,95
11,Oktawian,Kubiak,,,5500.0,4675,16806,1429,6
12,Olga,Przybylska,,,5800.0,16714,8029,929,16
13,Jowita,Sikorska,xA5452PCxp56pQ534848NIjyJr5450x505053gyxjCXMb5154SOQX56,u53CBG54EMWVEhc50Dm52uV5255Hkff56gWhIanIt52Oor50YT,4900.0,22626,23402,3304,1
14,Konrad,Kozlowski,544849565051fdri50d53b50uPyeNu48PAROnuK,XVBG49D52545653QDQ54ONU54IfqH53LSe52v52,6600.0,19216,17969,9357,88
15,Czeslaw,Kwiatkowski,FCfxN56XC53av545356awSPJ48S5252ytIeWImFQ565452N5552a55iH,FbUj56d55PbCDbd55Ti535252ss51I50PuOvdK48lxc49TatC48N48,9100.0,8311,14144,3716,23
16,Oktawian,Kubiak,,,4000.0,29715,24424,6374,31
